scenario_id,method,n,p,contamination_type,contamination_rate,contamination_strength,true_ate,n_mc,bias,mse,var,rmse,mae,coverage,n_valid,elapsed_sec,mcse_bias,mcse_mse,mcse_rmse
16,reg_adj,200,20,covariate,0.0,3,2,2000,0.0079018588446704,0.0309372190027028,0.0308902247418727,0.175889792207231,0.139260583678253,0.95,2000,727.626489877701,0.003930027019110219,0.0009788071909958831,0.0027824445600648207
16,adaptive,200,20,covariate,0.0,3,2,2000,0.0051971856831887,0.0316193237517978,0.0316081170713079,0.177818232337963,0.140693348840337,0.9485,2000,727.626489877701,0.003975431867816873,0.0010003902148642348,0.0028129573714434516
17,naive,500,20,covariate,0.0,3,2,2000,0.0121191714728455,0.0132372356406613,0.0130969097783623,0.115053186138678,0.0912768696801804,0.9445,2000,1955.95267891884,0.002558994898232732,0.00041877947072953297,0.0018199386074574332
17,ipw_robust,500,20,covariate,0.0,3,2,2000,-0.0111243591814152,0.0131466228776012,0.0130293862035058,0.114658723512872,0.091337075916805,0.9435,2000,1955.95267891884,0.0025523896845413125,0.00041592032115893784,0.0018137316918247618
17,dr_robust,500,20,covariate,0.0,3,2,2000,0.0074064664093631,0.0127686272068428,0.0127201315279337,0.112998350460716,0.089975052523928,0.9485,2000,1955.95267891884,0.0025219170811045413,0.00040397684421577943,0.0017875342541226848
17,aipw_robust,500,20,covariate,0.0,3,2,2000,0.0022509049923362,0.0163785788557532,0.0163817031340357,0.127978821903287,0.101382964962853,0.946,2000,1955.95267891884,0.0028619663811823245,0.0005181951329090065,0.0020245347050491065
17,reg_adj,500,20,covariate,0.0,3,2,2000,0.0111868424983879,0.0119743715237037,0.0118551536554477,0.109427471522026,0.0869476462009815,0.9505,2000,1955.95267891884,0.00243466154274549,0.0003788296518961645,0.001730962283177274
17,adaptive,500,20,covariate,0.0,3,2,2000,0.0111868424983879,0.0119743715237037,0.0118551536554477,0.109427471522026,0.0869476462009815,0.9505,2000,1955.95267891884,0.00243466154274549,0.0003788296518961645,0.001730962283177274
18,naive,1000,20,covariate,0.0,3,2,2000,0.0102108222845594,0.0060324428250477,0.0059311475070744,0.077668802134755,0.0618157958494713,0.9495,2000,3615.11858797073,0.001722084130795357,0.0001908278915850014,0.0012284719626158
18,ipw_robust,1000,20,covariate,0.0,3,2,2000,-0.0141036589939842,0.0062802812222846,0.0060844102303812,0.0792482253573204,0.0632721017935362,0.942,2000,3615.11858797073,0.0017441918229342207,0.0001985965428535021,0.001253003092233643
18,dr_robust,1000,20,covariate,0.0,3,2,2000,0.0052342343722879,0.0058778234261398,0.0058533528931223,0.0766669643727975,0.0614136072531509,0.956,2000,3615.11858797073,0.001710753181075853,0.00018596362859974215,0.001212801564018391
